Query,Nombre,Dirección,Teléfono,Web
restaurantes Bilbao,La Viña del Ensanche,"Diputazio Kalea, 10, Abando, 48008 Bilbao, Biscay, España",,http://lavinadelensanche.com/
restaurantes Bilbao,Bilbao Berria Ledesma,"Ledesma Musikariaren Kalea, 26, Abando, 48001 Bilbao, Biscay, España",,https://www.bilbaoberrialedesma.com/
restaurantes Bilbao,La Gavilla,"Colón de Larreátegui K., 32, Abando, 48009 Bilbao, Biscay, España",,http://www.lagavillabilbao.com/
restaurantes Bilbao,Gure Toki,"Pl. Nueva, 12, Ibaiondo, 48005 Bilbao, Biscay, España",,http://guretoki.com/
restaurantes Bilbao,Restaurante Porrue,"Alameda de Recalde, 4, BJ, Abando, 48009 Bilbao, Biscay, España",,http://www.porrue.com/
cafeterías Madrid,Cafeteria Pan y Pepinillos Café (Madrid Desayunos & Brunch),"C. de El Escorial, 2, Centro, 28004 Madrid, España",,http://panypepinilloscafe.es/
cafeterías Madrid,Dale Café,"C. de los Relatores, 22, BAJO LOFT, Centro, 28012 Madrid, España",,https://instagram.com/dalecafemadrid?igshid=MmJiY2I4NDBkZg==
cafeterías Madrid,UMAMI SPECIALTY COFFEE,"C. de la Alameda, 1, Centro, 28014 Madrid, España",,https://umamispecialtycoffee.com/
cafeterías Madrid,Cafelito,"C. del Sombrerete, 20, Centro, 28012 Madrid, España",,https://cafelito.es/
cafeterías Madrid,Crema y Nata,"Calle del Dr. Fourquet, 37, Local bajo izquierdo, Centro, 28012 Madrid, España",,
gimnasios Barcelona,BCN Fitness,"Carrer d'Aragó, 322, Eixample, 08009 Barcelona, España",,https://bcn-fitness.es/
gimnasios Barcelona,Fitness Park Barcelona - Casanova,"Carrer de Casanova, 161, Eixample, 08036 Barcelona, España",,https://espana.fitnesspark.com/club/barcelona-casanova/?utm_medium=Local_Inventory&utm_source=GMB&utm_campaign=barcelona-casanova&utm_content=Yext
gimnasios Barcelona,Fitness Park Barcelona - Rossello,"Carrer del Rosselló, 290, Eixample, 08037 Barcelona, España",,https://www.fitnesspark.es/club/barcelona-rossello
gimnasios Barcelona,MOV Centre d’ Entrenament,"Pg. del Taulat, 235, Sant Martí, 08019 Barcelona, España",,https://www.movbcn.com/
gimnasios Barcelona,Fitness Park Barcelona - Balmes,"Carrer de Balmes, 184, Distrito de Sarrià-Sant Gervasi, 08006 Barcelona, España",,https://www.fitnesspark.es/club/barcelona-balmes/
hoteles Sevilla,Hotel Silken Al-Andalus Palace,"Av. de la Palmera, s/n, 41012 Sevilla, España",,https://www.hoteles-silken.com/es/hotel-al-andalus-sevilla/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business-al-andalus
hoteles Sevilla,Hotel Alfonso XIII,"C. San Fernando, 2, Casco Antiguo, 41004 Sevilla, España",,https://www.marriott.com/en-us/hotels/svqlc-hotel-alfonso-xiii-a-luxury-collection-hotel-seville/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0
hoteles Sevilla,Hotel Sacristía de Santa Ana,"Alameda de Hércules, 5, Casco Antiguo, 41002 Sevilla, España",,http://www.hotelsacristia.com/
hoteles Sevilla,Hotel Palacio Alcázar,"Pl. de la Alianza, 11, Casco Antiguo, 41004 Sevilla, España",,https://www.palacioalcazar.com/
hoteles Sevilla,Legado Alcazar Hotel,"C. Mariana de Pineda, 18, Casco Antiguo, 41004 Sevilla, España",,http://www.legadoalcazarhotel.com/
